	RealEstateProjectID	HouseID	ProjectName	HouseUseType	FloorName	MeasuredBuildingArea	MeasuredInternalBuildingArea	MeasuredSharedPublicArea	LandUse	TotalBuildingArea	FloorArea	DistrictName	RegionName	Decoration	PropertyRightsDesc	ParkingSpaceAmount	HousingCount	ParkingSpaceAmount.1	ManagementFees	GreeningRate	FloorAreaRatio	ClassifyResult
1080	0c6048fa-76b9-3335-995a-fe912b8d251f	7968dcf4-1d0d-3a83-bffd-ae3c7a429cdb	泉盛美家	住宅	21	110.5	83.19	27.31	住宅		1775645.08	铜山区	南区	无			5329.0					3
1081	dac60c98-22de-3bbe-9042-69ff9e411e0a	c4dae793-50e3-37cd-bcfa-ce4d80a3e570	广厦家园	住宅	10	70.88	59.12	11.76	住宅		32027.23	睢宁县		无			673.0					3
1082	615f70de-7fbd-3e4b-89c2-a1d6011b345b	fabe4c07-f19f-3a55-a628-07d46c669879	保利鑫城	住宅	15	89.34	65.74	23.6	住宅		2333836.91	泉山区	西区	无			5166.0					3
1083	d5835234-2a3b-3254-b32b-e47997da0596	ab670add-6825-39e1-814a-7d376f06f419	汉源国际丽城	住宅	9	109.14	81.81	27.33	住宅		511154.5	铜山区	西区	无	待定		424.0	待定				3
1084	4a2f9272-a4a2-397a-8a0e-78efdd6b989f	2efba079-32eb-3f46-98ed-ceabea4061bc	金域·香城	住宅	10	97.49	74.12	23.37	住宅		68190.0	沛县		无			733.0					3
1085	8f3871b7-686a-3bd8-ab4b-f1b33a6f7bda	5df89671-21c1-3c55-b298-a522c5a9e8bc	枫林天下·康城	住宅	13	97.33	73.93	23.4	住宅		652929.6	铜山区	南区	无			415.0					3
1086	d92a7a08-7c40-326b-b6c8-618a0de7f6f3	9690138b-c5d7-3b10-a601-037c8da9b2a1	观澜悦居	住宅	22	143.69	113.89	29.8	住宅		530238.0	泉山区	西区	无			2321.0					3
1087	9227ef25-825c-31e1-8140-55e189440c0a	5da0fbae-179a-3701-927d-1cf03400283b	泉盛美家	住宅	15	80.31	60.68	19.63	住宅		667740.0	泉山区	西区	无			7177.0					3
1088	cf9a7e2f-db67-3539-9436-2788993540ae	adbc7250-03e1-3c7f-a3cb-fa98d14dbf9e	宏利达·银河湾三期	住宅	17	126.07	96.2	29.87	住宅		4002788.5	邳州市		无			3243.0					3
1089	0c6048fa-76b9-3335-995a-fe912b8d251f	0ccaf3fc-5749-3987-b380-5dfa7736ecfd	泉盛美家	住宅	30	110.29	83.19	27.1	住宅		1775645.08	铜山区	南区	无			5329.0					3
1090	9227ef25-825c-31e1-8140-55e189440c0a	be89bee5-b12e-39ca-a2a7-de3bb21316b8	泉盛美家	住宅	26	99.13	73.77	25.37	住宅		667740.0	泉山区	西区	无			7177.0					3
1091	89d31d24-a33e-3213-959d-1a4f3b0c550b	4842342b-5593-3f50-af83-65e5af8f19de	保利鑫城	住宅	14	78.85	59.16	19.69	住宅		1225303.8	经济开发区	东区	无			1346.0					3
1092	2944ee1e-3c2d-33d8-8706-c56cd017469b	e83cc8d7-d3a8-3eb4-b48c-07836bddb040	馨园雅居三阶段	住宅	9	90.86	75.39	15.48	住宅		52234.0	新沂市		无			211.0					3
1093	ae52d65e-5469-3b47-85c5-e3bd3bf978da	f7dcdbe6-ec54-3e8f-a325-2774d41a074b	御水帝景城二期	住宅	18	150.68	120.74	29.94	住宅		726126.92	丰县		无			1758.0					3
1094	0c6048fa-76b9-3335-995a-fe912b8d251f	bbedef85-39a3-3b58-9e06-d5485001cea1	泉盛美家	住宅	26	130.39	96.57	33.82	住宅		1775645.08	铜山区	南区	无			5329.0					3
1095	9227ef25-825c-31e1-8140-55e189440c0a	cf8d8188-9233-3d6d-9186-3b5d72beefcf	泉盛美家	住宅	15	91.63	67.75	23.88	住宅		667740.0	泉山区	西区	无			7177.0					3
1096	ae52d65e-5469-3b47-85c5-e3bd3bf978da	f13c51bb-6589-3e21-bcda-832a14f2a843	御水帝景城二期	住宅	28	105.77	76.99	28.78	住宅		726126.92	丰县		无			1758.0					3
